XXX,DOC_DS,DOC_US,EngSpd,Torque,ExhFlw,IntPrs,APPsen,CoTemp,ThrtDS,CmprUS,EGRsen,Regenr
DOC_DS,1,0.94096,0.665331,0.522967,0.373699,0.608343,0.31859,0.43844,0.191927,-0.322526,-0.3264,0.499169
DOC_US,0.94096,1,0.764703,0.658999,0.421823,0.765033,0.393902,0.423889,0.181442,-0.380223,-0.301465,0.357051
EngSpd,0.665331,0.764703,1,0.609341,0.420454,0.773826,0.465427,0.268201,0.091371,-0.419352,-0.142738,0.070132
Torque,0.522967,0.658999,0.609341,1,0.377345,0.885963,0.655786,0.14156,0.074187,-0.322824,-0.285,0.08582
ExhFlw,0.373699,0.421823,0.420454,0.377345,1,0.431699,0.235687,0.113762,0.076944,-0.198529,-0.205587,0.087327
IntPrs,0.608343,0.765033,0.773826,0.885963,0.431699,1,0.520649,0.178722,0.143444,-0.374833,-0.273584,-0.007794
APPsen,0.31859,0.393902,0.465427,0.655786,0.235687,0.520649,1,0.182038,0.15414,-0.135627,-0.143386,0.010814
CoTemp,0.43844,0.423889,0.268201,0.14156,0.113762,0.178722,0.182038,1,0.338195,0.195089,-0.068638,0.084372
ThrtDS,0.191927,0.181442,0.091371,0.074187,0.076944,0.143444,0.15414,0.338195,1,0.713415,-0.224662,0.024213
CmprUS,-0.322526,-0.380223,-0.419352,-0.322824,-0.198529,-0.374833,-0.135627,0.195089,0.713415,1,-0.010745,-0.016602
EGRsen,-0.3264,-0.301465,-0.142738,-0.285,-0.205587,-0.273584,-0.143386,-0.068638,-0.224662,-0.010745,1,-0.249681
Regenr,0.499169,0.357051,0.070132,0.08582,0.087327,-0.007794,0.010814,0.084372,0.024213,-0.016602,-0.249681,1
