XXX,CoTemp,ThrtDS,CmprUS,EGRsen,Regenr
DOC_DS,0.438440,0.191927,-0.322526,-0.326400,0.499169
DOC_US,0.423889,0.181442,-0.380223,-0.301465,0.357051
EngSpd,0.268201,0.091371,-0.419352,-0.142738,0.070132
Torque,0.141560,0.074187,-0.322824,-0.285000,0.085820
ExhFlw,0.113762,0.076944,-0.198529,-0.205587,0.087327
IntPrs,0.178722,0.143444,-0.374833,-0.273584,-0.007794
APPsen,0.182038,0.154140,-0.135627,-0.143386,0.010814
CoTemp,1.000000,0.338195,0.195089,-0.068638,0.084372
ThrtDS,0.338195,1.000000,0.713415,-0.224662,0.024213
CmprUS,0.195089,0.713415,1.000000,-0.010745,-0.016602
EGRsen,-0.068638,-0.224662,-0.010745,1.000000,-0.249681
Regenr,0.084372,0.024213,-0.016602,-0.249681,1.000000
